longitude,latitude,total,geom,Area,City
-73.99195971,40.72593885,139,"40.72593884892083,-73.99195971223021",Bowery,Manhattan
-74.00125385,40.73130641,78,"40.731306410256416,-74.00125384615384",6th Avenue,Manhattan
-73.97361268,40.76386197,71,"40.763861971830984,-73.97361267605636",West 58th Street,Manhattan
-74.00947872,40.70626596,47,"40.70626595744682,-74.00947872340429",Wall Street,Manhattan
-74.00569869,40.74034641,153,"40.74034640522877,-74.00569869281044",9th Avenue,Manhattan
-74.00107857,40.75713429,70,"40.75713428571429,-74.00107857142858",11th Avenue,Manhattan
-73.99391143,40.75149429,35,"40.7514942857143,-73.99391142857141",Chelsea,Manhattan
-74.00054035,40.7273193,57,"40.72731929824561,-74.0005403508772",Greenwich Village,Manhattan
-73.78206286,40.64482857,70,"40.644828571428555,-73.78206285714286",John F. Kennedy International Airport,Queens
-73.98471111,40.7104,54,"40.71039999999999,-73.9847111111111",Stuy Town,Manhattan
-73.98267273,40.77173939,33,"40.771739393939384,-73.98267272727273",Lincoln Square,Manhattan
-74.00870196,40.73883725,51,"40.73883725490199,-74.00870196078432",West Village,Manhattan
-73.77678333,40.64587143,42,"40.64587142857143,-73.77678333333337",John F. Kennedy International Airport,Queens
-74.0107625,40.723655,40,"40.723655000000015,-74.01076249999998",Tribeca,Manhattan
-73.78962432,40.64667297,37,"40.64667297297297,-73.78962432432432","Bayswater, Queens",Queens
-73.9949137,40.7254274,73,"40.72542739726029,-73.99491369863014",NoHo,Manhattan
-73.98069,40.7443825,40,"40.744382500000015,-73.98069",Kips Bay,Manhattan
-73.98977805,40.66370244,41,"40.663702439024405,-73.98977804878048",Park Slope,Brooklyn
-74.00280103,40.73385361,194,"40.733853608247394,-74.00280103092787",West Village,Manhattan
-73.98847414,40.72154138,58,"40.721541379310345,-73.98847413793102",Lower East Side,Manhattan
-73.98914898,40.72663265,49,"40.726632653061216,-73.98914897959182",East Village,Manhattan
-74.00455179,40.73010536,56,"40.73010535714286,-74.00455178571428",West Village,Manhattan
-73.99168791,40.74965055,91,"40.74965054945055,-73.99168791208788",Chelsea,Manhattan
-74.00407879,40.74212576,66,"40.74212575757576,-74.00407878787878",Chelsea,Manhattan
-74.00770746,40.74058955,67,"40.7405895522388,-74.00770746268657",Meatpacking District,Manhattan
-73.98053125,40.74819375,32,"40.74819375,-73.98053124999998",Midtown South,Manhattan
-73.993575,40.7274675,40,"40.7274675,-73.99357499999999",NoHo,Manhattan
-73.99671613,40.72366129,31,"40.723661290322575,-73.99671612903227",SoHo,Manhattan
-73.98223243,40.76830541,37,"40.7683054054054,-73.98223243243243","Columbus Circle, Central Park West",Manhattan
-73.99711562,40.74205625,32,"40.74205625,-73.99711562499998",Chelsea,Manhattan
-73.9769871,40.74523226,31,"40.74523225806452,-73.9769870967742",Kips Bay,Manhattan
-74.00760313,40.70512812,32,"40.70512812499998,-74.007603125",Financial District,Manhattan
-73.78295,40.64840833,36,"40.64840833333334,-73.78295",Bayswater,Queens
-73.98883714,40.74838857,35,"40.74838857142856,-73.98883714285714",Korea Town,Manhattan
-73.87224651,40.77396977,43,"40.77396976744185,-73.8722465116279",LaGuardia Airport,Queens
-73.99738776,40.72214694,49,"40.72214693877553,-73.99738775510204",Little Italy,Manhattan
-74.00731316,40.74332368,38,"40.74332368421054,-74.00731315789474",Chelsea,Manhattan
-73.99971552,40.72844138,58,"40.72844137931035,-73.99971551724138", NoHo,Manhattan
-73.99651563,40.73224062,32,"40.73224062499999,-73.996515625",SoHo,Manhattan
-73.992396,40.742736,25,"40.74273600000001,-73.99239599999997",Flatiron District,Manhattan
-73.99853462,40.73471538,26,"40.734715384615384,-73.99853461538463", Greenwich Village,Manhattan
-73.99182308,40.74413462,26,"40.74413461538461,-73.99182307692308",Chelsea,Manhattan
-74.00928,40.713896,25,"40.713896000000005,-74.00927999999999",Tribeca,Manhattan
-73.97634643,40.76389643,28,"40.763896428571435,-73.97634642857143",Midtown  ,Manhattan
-73.99502692,40.74470769,26,"40.74470769230769,-73.99502692307692",Chelsea,Manhattan
-73.99928684,40.76100526,38,"40.7610052631579,-73.99928684210526",Hell's Kitchen,Manhattan
-74.00243077,40.72914615,26,"40.72914615384616,-74.00243076923078",West Village,Manhattan
-73.99101818,40.72421818,11,"40.72421818181818,-73.99101818181818",NoHo,Manhattan
-74.00453462,40.73351923,26,"40.73351923076923,-74.00453461538461",West Village,Manhattan
-73.972792,40.743524,25,"40.74352400000001,-73.972792",Kips Bay,Manhattan
-73.95789677,40.72183548,31,"40.721835483870976,-73.95789677419356",Greenpoint,Brooklyn
-74.00652609,40.74399565,23,"40.7439956521739,-74.0065260869565",Chelsea,Manhattan
-73.993816,40.730272,25,"40.73027200000001,-73.993816",Greenwich Village,Manhattan
-74.0004,40.730164,25,"40.73016400000001,-74.00039999999998",SoHo,Manhattan
-73.98856429,40.74528214,28,"40.74528214285715,-73.9885642857143",NoMad,Manhattan
-73.983792,40.743984,25,"40.743984,-73.98379200000001",Rose Hill,Manhattan
-74.000228,40.734776,25,"40.73477599999999,-74.000228",West Village,Manhattan
-73.972744,40.75588,25,"40.75588,-73.972744", Midtown East,Manhattan
